Code,Partner,LDC and other,LDC and other Source,Income group,Income group Source,Development region,Development region Source,WTO Member,NetFoodImporting,World,FSR,FSR_EEU,FSR_EU,SVE_SmallVulnarableEconomies,RAM_RecentMembers,G33_friends,LowIncomeFoodDefC,NewGroupOF92,OldGroupOF103,,,,,,,,,,,
699,India,ODCs,Manual,Lower middle income,UN WESP,Developing economies,OK,Yes,Other,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAM,G33,LIFDC,newGroup,oldGroup,,,,,,,,,,,
360,Indonesia,ODCs,Manual,Lower middle income,UN WESP,Developing economies,OK,Yes,Other,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAM,G33,nonLIFDC,newGroupOther,oldGroup,,,,,,,,,,,
364,Iran,ODCs,Manual,Upper middle income,UN WESP,Developing economies,OK,No,Other,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
368,Iraq,ODCs,Manual,Upper middle income,UN WESP,Developing economies,OK,No,Other,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroupOther,oldGroup,,,,,,,,,,,
372,Ireland,ODCs,Manual,High-income,UN WESP,Developed economies,OK,Yes,Other,WorldTotal,ROW,ROW,EU,nonSVE,nonRAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
376,Israel,ODCs,Manual,High-income,UN WESP,Developing economies,OK,Yes,Other,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
381,Italy,ODCs,Manual,High-income,UN WESP,Developed economies,OK,Yes,Other,WorldTotal,ROW,ROW,EU,nonSVE,nonRAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
388,Jamaica,ODCs,Manual,Upper middle income,UN WESP,Developing economies,OK,Yes,NFIDC,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAM,G33,nonLIFDC,newGroup,oldGroup,,,,,,,,,,,
392,Japan,ODCs,Manual,High-income,UN WESP,Developed economies,OK,Yes,Other,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
400,Jordan,ODCs,Manual,Upper middle income,UN WESP,Developing economies,OK,Yes,NFIDC,WorldTotal,ROW,ROW,ROW,nonSVE,RAM,nonG33,nonLIFDC,newGroup,oldGroup,,,,,,,,,,,
398,Kazakhstan,ODCs,Manual,Upper middle income,UN WESP,Economies in transition,OK,No,Other,WorldTotal,FSR,EEU,FSR,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
404,Kenya,ODCs,Manual,Lower middle income,UN WESP,Developing economies,OK,Yes,NFIDC,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAM,G33,LIFDC,newGroup,oldGroup,,,,,,,,,,,
296,Kiribati,LDC,UN WESP,Lower middle income,UN WESP,Developing economies,OK,No,NFIDC,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroup,oldGroup,,,,,,,,,,,
414,Kuwait,ODCs,Manual,High-income,UN WESP,Developing economies,OK,Yes,Other,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
417,Kyrgyzstan,ODCs,Manual,Lower middle income,UN WESP,Economies in transition,OK,Yes,Other,WorldTotal,FSR,EEU,FSR,nonSVE,RAM,nonG33,LIFDC,newGroup,oldGroup,,,,,,,,,,,
473,"LAIA, nes",ODCs,Manual,Others,WB WITS,"Other regions, nes",Manual,No,Other,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
418,Lao People's Dem. Rep.,LDC,UN WESP,Lower middle income,UN WESP,Developing economies,OK,No,NFIDC,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroup,oldGroup,,,,,,,,,,,
428,Latvia,ODCs,Manual,High-income,UN WESP,Developed economies,OK,Yes,Other,WorldTotal,ROW,ROW,EU,nonSVE,nonRAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
422,Lebanon,ODCs,Manual,Upper middle income,UN WESP,Developing economies,OK,No,Other,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
426,Lesotho,LDC,UN WESP,Lower middle income,UN WESP,Developing economies,OK,Yes,NFIDC,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAM,nonG33,LIFDC,newGroup,oldGroup,,,,,,,,,,,
430,Liberia,LDC,UN WESP,Low-income,UN WESP,Developing economies,OK,No,NFIDC,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAMnonWTO,nonG33nonWTO,LIFDC,newGroup,oldGroup,,,,,,,,,,,
434,Libya,ODCs,Manual,Upper middle income,UN WESP,Developing economies,OK,No,Other,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
440,Lithuania,ODCs,Manual,High-income,UN WESP,Developed economies,OK,Yes,Other,WorldTotal,ROW,ROW,EU,nonSVE,nonRAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
442,Luxembourg,ODCs,Manual,High-income,UN WESP,Developed economies,OK,Yes,Other,WorldTotal,ROW,ROW,EU,nonSVE,nonRAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
450,Madagascar,LDC,UN WESP,Low-income,UN WESP,Developing economies,OK,Yes,NFIDC,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAM,G33,LIFDC,newGroup,oldGroup,,,,,,,,,,,
454,Malawi,LDC,UN WESP,Low-income,UN WESP,Developing economies,OK,Yes,NFIDC,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAM,nonG33,LIFDC,newGroup,oldGroup,,,,,,,,,,,
458,Malaysia,ODCs,Manual,Upper middle income,UN WESP,Developing economies,OK,Yes,Other,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
462,Maldives,ODCs,Manual,Upper middle income,UN WESP,Developing economies,OK,Yes,NFIDC,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAM,nonG33,nonLIFDC,newGroup,oldGroup,,,,,,,,,,,
466,Mali,LDC,UN WESP,Low-income,UN WESP,Developing economies,OK,Yes,NFIDC,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAM,nonG33,LIFDC,newGroup,oldGroup,,,,,,,,,,,
470,Malta,ODCs,Manual,High-income,UN WESP,Developed economies,OK,Yes,Other,WorldTotal,ROW,ROW,EU,nonSVE,nonRAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
584,Marshall Isds,ODCs,Manual,Upper middle income,World Bank list of economies (March 2017),Developing economies,Small island developing States,No,Other,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
474,Martinique,ODCs,Manual,Others,WB WITS,Developing economies,Small island developing States,No,Other,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
478,Mauritania,LDC,UN WESP,Lower middle income,UN WESP,Developing economies,OK,Yes,NFIDC,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAM,nonG33,LIFDC,newGroup,oldGroup,,,,,,,,,,,
480,Mauritius,ODCs,Manual,Upper middle income,UN WESP,Developing economies,OK,Yes,NFIDC,WorldTotal,ROW,ROW,ROW,SVE,nonRAM,G33,nonLIFDC,newGroup,oldGroup,,,,,,,,,,,
175,Mayotte,ODCs,Manual,Others,WB WITS,Developing economies,Manual,No,Other,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
484,Mexico,ODCs,Manual,Upper middle income,UN WESP,Developing economies,OK,Yes,Other,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
496,Mongolia,ODCs,Manual,Lower middle income,UN WESP,Developing economies,OK,Yes,NFIDC,WorldTotal,ROW,ROW,ROW,SVE,nonRAM,G33,nonLIFDC,newGroup,oldGroup,,,,,,,,,,,
499,Montenegro,ODCs,Manual,Upper middle income,UN WESP,Economies in transition,OK,No,Other,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
500,Montserrat,ODCs,Manual,Others,WB WITS,Developing economies,Small island developing States,No,Other,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
504,Morocco,ODCs,Manual,Lower middle income,UN WESP,Developing economies,OK,Yes,NFIDC,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAM,nonG33,nonLIFDC,newGroup,oldGroup,,,,,,,,,,,
508,Mozambique,LDC,UN WESP,Low-income,UN WESP,Developing economies,OK,Yes,NFIDC,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAM,G33,LIFDC,newGroup,oldGroup,,,,,,,,,,,
104,Myanmar,LDC,UN WESP,Lower middle income,UN WESP,Developing economies,OK,Yes,NFIDC,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAM,nonG33,nonLIFDC,newGroup,oldGroup,,,,,,,,,,,
580,N. Mariana Isds,ODCs,Manual,High-income,WB WITS,Developing economies,Manual,No,Other,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
516,Namibia,ODCs,Manual,Upper middle income,UN WESP,Developing economies,OK,Yes,NFIDC,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAM,nonG33,nonLIFDC,newGroup,oldGroup,,,,,,,,,,,
520,Nauru,ODCs,Manual,High-income,World Bank list of economies (March 2017),Developing economies,Small island developing States,No,Other,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
524,Nepal,LDC,UN WESP,Low-income,UN WESP,Developing economies,OK,Yes,NFIDC,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAM,nonG33,LIFDC,newGroup,oldGroup,,,,,,,,,,,
530,Neth. Antilles,ODCs,Manual,High-income,World Bank list of economies (March 2017),Developed economies,Manual,Yes,Other,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
528,Netherlands,ODCs,Manual,High-income,UN WESP,Developed economies,OK,Yes,Other,WorldTotal,ROW,ROW,EU,nonSVE,nonRAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
536,Neutral Zone,ODCs,Manual,High-income,World Bank list of economies (March 2017),Developing economies,Manual,No,Other,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
540,New Caledonia,ODCs,Manual,High-income,World Bank list of economies (March 2017),Developing economies,Small island developing States,No,Other,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
554,New Zealand,ODCs,Manual,High-income,UN WESP,Developed economies,OK,Yes,Other,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
558,Nicaragua,ODCs,Manual,Lower middle income,UN WESP,Developing economies,OK,Yes,Other,WorldTotal,ROW,ROW,ROW,SVE,nonRAM,G33,LIFDC,newGroup,oldGroup,,,,,,,,,,,
562,Niger,LDC,UN WESP,Low-income,UN WESP,Developing economies,OK,Yes,NFIDC,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAM,nonG33,LIFDC,newGroup,oldGroup,,,,,,,,,,,
566,Nigeria,ODCs,Manual,Lower middle income,UN WESP,Developing economies,OK,Yes,Other,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAM,G33,LIFDC,newGroup,oldGroup,,,,,,,,,,,
570,Niue,ODCs,Manual,Others,WB WITS,Developing economies,Small island developing States,No,Other,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
574,Norfolk Isds,ODCs,Manual,High-income,World Bank list of economies (March 2017),Developed economies,Manual,No,Other,WorldTotal,ROW,ROW,EU,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
637,"North America and Central America, nes",ODCs,Manual,Others,WB WITS,"Other regions, nes",Manual,No,Other,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
579,Norway,ODCs,Manual,High-income,UN WESP,Developed economies,OK,Yes,Other,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
527,"Oceania, nes",ODCs,Manual,Others,WB WITS,"Other regions, nes",Manual,No,Other,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
512,Oman,ODCs,Manual,High-income,UN WESP,Developing economies,OK,Yes,Other,WorldTotal,ROW,ROW,ROW,nonSVE,RAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
577,"Other Africa, nes",ODCs,Manual,Others,WB WITS,"Other regions, nes",Manual,No,Other,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
490,"Other Asia, nes",ODCs,Manual,Others,WB WITS,"Other regions, nes",Manual,No,Other,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroup,oldGroup,,,,,,,,,,,
568,"Other Europe, nes",ODCs,Manual,Others,WB WITS,"Other regions, nes",Manual,No,Other,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
586,Pakistan,ODCs,Manual,Lower middle income,UN WESP,Developing economies,OK,Yes,NFIDC,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAM,G33,LIFDC,newGroup,oldGroup,,,,,,,,,,,
585,Palau,ODCs,Manual,Upper middle income,World Bank list of economies (March 2017),Developing economies,Small island developing States,No,Other,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
591,Panama,ODCs,Manual,Upper middle income,UN WESP,Developing economies,OK,Yes,Other,WorldTotal,ROW,ROW,ROW,nonSVE,RAM,G33,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
598,Papua New Guinea,ODCs,Manual,Lower middle income,UN WESP,Developing economies,OK,Yes,Other,WorldTotal,ROW,ROW,ROW,SVE,nonRAM,nonG33,LIFDC,newGroup,oldGroup,,,,,,,,,,,
600,Paraguay,ODCs,Manual,Upper middle income,UN WESP,Developing economies,OK,Yes,Other,WorldTotal,ROW,ROW,ROW,SVE,nonRAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
604,Peru,ODCs,Manual,Upper middle income,UN WESP,Developing economies,OK,Yes,NFIDC,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAM,G33,nonLIFDC,newGroup,oldGroup,,,,,,,,,,,
608,Philippines,ODCs,Manual,Lower middle income,UN WESP,Developing economies,OK,Yes,Other,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAM,G33,nonLIFDC,newGroupOther,oldGroup,,,,,,,,,,,
612,Pitcairn,ODCs,Manual,Others,WB WITS,Developing economies,Manual,No,Other,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
616,Poland,ODCs,Manual,High-income,UN WESP,Developed economies,OK,Yes,Other,WorldTotal,ROW,ROW,EU,nonSVE,nonRAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
620,Portugal,ODCs,Manual,High-income,UN WESP,Developed economies,OK,Yes,Other,WorldTotal,ROW,ROW,EU,nonSVE,nonRAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
634,Qatar,ODCs,Manual,High-income,UN WESP,Developing economies,OK,Yes,Other,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
410,Rep. of Korea,ODCs,Manual,High-income,UN WESP,Developing economies,OK,Yes,Other,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAM,G33,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
498,Rep. of Moldova,ODCs,Manual,Lower middle income,UN WESP,Economies in transition,OK,Yes,Other,WorldTotal,FSR,other FSR,FSR,nonSVE,RAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
636,"Rest of America, nes",ODCs,Manual,Others,WB WITS,"Other regions, nes",Manual,No,Other,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
638,Réunion,ODCs,Manual,High-income,WB WITS,Developed economies,OK,No,Other,WorldTotal,ROW,ROW,EU,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
642,Romania,ODCs,Manual,Upper middle income,UN WESP,Developed economies,OK,Yes,Other,WorldTotal,ROW,ROW,EU,nonSVE,nonRAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
652,ROW,ODCs,Manual,Others,WB WITS,"Other regions, nes",Manual,No,Other,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
643,Russian Federation,ODCs,Manual,Upper middle income,UN WESP,Economies in transition,OK,No,Other,WorldTotal,FSR,EEU,FSR,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
646,Rwanda,LDC,UN WESP,Low-income,UN WESP,Developing economies,OK,Yes,NFIDC,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAM,nonG33,LIFDC,newGroup,oldGroup,,,,,,,,,,,
654,Saint Helena,ODCs,Manual,Others,WB WITS,Developing economies,Manual,No,Other,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
659,Saint Kitts and Nevis,ODCs,Manual,High-income,World Bank list of economies (March 2017),Developing economies,Small island developing States,Yes,NFIDC,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAM,G33,nonLIFDC,newGroup,oldGroup,,,,,,,,,,,
662,Saint Lucia,ODCs,Manual,Upper middle income,World Bank list of economies (March 2017),Developing economies,Small island developing States,Yes,NFIDC,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAM,G33,nonLIFDC,newGroup,oldGroup,,,,,,,,,,,
534,Saint Maarten,ODCs,Manual,Upper middle income,World Bank list of economies (March 2017),Developing economies,Manual,No,Other,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
666,Saint Pierre and Miquelon,ODCs,Manual,Others,WB WITS,Developing economies,Manual,No,Other,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
670,Saint Vincent and the Grenadines,ODCs,Manual,High-income,World Bank list of economies (March 2017),Developing economies,Manual,Yes,NFIDC,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAM,G33,nonLIFDC,newGroup,oldGroup,,,,,,,,,,,
882,Samoa,ODCs,Manual,Lower middle income,UN WESP,Developing economies,OK,No,Other,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroupOther,oldGroup,,,,,,,,,,,
674,San Marino,ODCs,Manual,High-income,UN WESP,Developed economies,Manual,No,Other,WorldTotal,ROW,ROW,EU,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
678,Sao Tome and Principe,LDC,UN WESP,Lower middle income,UN WESP,Developing economies,OK,No,NFIDC,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAMnonWTO,nonG33nonWTO,LIFDC,newGroup,oldGroup,,,,,,,,,,,
682,Saudi Arabia,ODCs,Manual,High-income,UN WESP,Developing economies,OK,Yes,Other,WorldTotal,ROW,ROW,ROW,nonSVE,RAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
686,Senegal,LDC,UN WESP,Low-income,UN WESP,Developing economies,OK,Yes,NFIDC,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAM,G33,LIFDC,newGroup,oldGroup,,,,,,,,,,,
688,Serbia,ODCs,Manual,Upper middle income,UN WESP,Economies in transition,OK,NO,Other,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
891,Serbia and Montenegro,ODCs,Manual,Upper middle income,World Bank list of economies (March 2017),Economies in transition,OK,No,Other,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
690,Seychelles,ODCs,Manual,High-income,WB WITS,Economies in transition,OK,No,Other,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
694,Sierra Leone,LDC,UN WESP,Low-income,UN WESP,Developing economies,OK,Yes,NFIDC,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAM,nonG33,LIFDC,newGroup,oldGroup,,,,,,,,,,,
702,Singapore,ODCs,Manual,High-income,UN WESP,Developing economies,OK,Yes,Other,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
703,Slovakia,ODCs,Manual,High-income,UN WESP,Developed economies,OK,Yes,Other,WorldTotal,ROW,ROW,EU,nonSVE,nonRAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
705,Slovenia,ODCs,Manual,High-income,UN WESP,Developed economies,OK,Yes,Other,WorldTotal,ROW,ROW,EU,nonSVE,nonRAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
711,So. African Customs Union,ODCs,Manual,Others,WB WITS,"Other regions, nes",Manual,No,Other,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
90,Solomon Isds,LDC,UN WESP,Lower middle income,UN WESP,Developing economies,OK,Yes,NFIDC,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAM,nonG33,LIFDC,newGroup,oldGroup,,,,,,,,,,,
706,Somalia,LDC,UN WESP,Low-income,UN WESP,Developing economies,OK,No,NFIDC,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAMnonWTO,nonG33nonWTO,LIFDC,newGroup,oldGroup,,,,,,,,,,,
710,South Africa,ODCs,Manual,Upper middle income,UN WESP,Developing economies,OK,Yes,Other,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
239,South Georgia and the South Sandwich Islands,ODCs,Manual,Others,WB WITS,Developed economies,Manual,No,Other,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
728,South Sudan,LDC,UN WESP,Low-income,World Bank list of economies (March 2017),Developing economies,OK,No,NFIDC,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAMnonWTO,nonG33nonWTO,LIFDC,newGroup,oldGroupOther,,,,,,,,,,,
724,Spain,ODCs,Manual,High-income,UN WESP,Developed economies,OK,Yes,Other,WorldTotal,ROW,ROW,EU,nonSVE,nonRAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
839,Special Categories,ODCs,Manual,Others,WB WITS,"Other regions, nes",Manual,No,Other,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
144,Sri Lanka,ODCs,Manual,Lower middle income,UN WESP,Developing economies,OK,Yes,NFIDC,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAM,G33,nonLIFDC,newGroup,oldGroup,,,,,,,,,,,
275,State of Palestine,ODCs,Manual,Low-income,WB WITS,Developing economies,Manual,No,Other,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
729,Sudan,LDC,UN WESP,Lower middle income,UN WESP,Developing economies,OK,No,NFIDC,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAMnonWTO,nonG33nonWTO,LIFDC,newGroup,oldGroup,,,,,,,,,,,
740,Suriname,ODCs,Manual,Upper middle income,UN WESP,Developing economies,OK,Yes,Other,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAM,G33,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
748,Swaziland,ODCs,Manual,Lower middle income,UN WESP,Developing economies,OK,Yes,NFIDC,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAM,nonG33,nonLIFDC,newGroup,oldGroup,,,,,,,,,,,
752,Sweden,ODCs,Manual,High-income,UN WESP,Developed economies,OK,Yes,Other,WorldTotal,ROW,ROW,EU,nonSVE,nonRAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
757,Switzerland,ODCs,Manual,High-income,UN WESP,Developed economies,OK,Yes,Other,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther,,,,,,,,,,,
760,Syria,ODCs,Manual,Lower middle income,UN WESP,Developing economies,OK,No,Other,WorldTotal,ROW,ROW,ROW,nonSVE,nonRAMnonWTO,nonG33nonWTO,LIFDC,newGroup,oldGroup,,,,,,,,,,,
762,Tajikistan,ODCs,Manual,Lower middle income,UN WESP,Economies in transition,OK,No,Other,WorldTotal,FSR,other FSR,FSR,nonSVE,nonRAMnonWTO,nonG33nonWTO,LIFDC,newGroup,oldGroup,,,,,,,,,,,
