Code,Partner,LDC and other,LDC and other Source,Income group,Income group Source,Development region,Development region Source,WTO Member,NetFoodImporting,World,SVE_SmallVulnarableEconomies,RAM_RecentMembers,G33_friends,LowIncomeFoodDefC,NewGroupOF92,OldGroupOF103
143,Morocco,ODCs,Manual,Lower middle income,UN WESP,Developing economies,OK,Yes,NFIDC,WorldTotal,nonSVE,nonRAM,nonG33,nonLIFDC,newGroup,oldGroup
144,Mozambique,LDC,UN WESP,Low-income,UN WESP,Developing economies,OK,Yes,NFIDC,WorldTotal,nonSVE,nonRAM,G33,LIFDC,newGroup,oldGroup
28,Myanmar,LDC,UN WESP,Lower middle income,UN WESP,Developing economies,OK,Yes,NFIDC,WorldTotal,nonSVE,nonRAM,nonG33,nonLIFDC,newGroup,oldGroup
163,Northern Mariana Islands,ODCs,Manual,High-income,WB WITS,Developing economies,Manual,No,Other,WorldTotal,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroupOther,oldGroupOther
147,Namibia,ODCs,Manual,Upper middle income,UN WESP,Developing economies,OK,Yes,NFIDC,WorldTotal,nonSVE,nonRAM,nonG33,nonLIFDC,newGroup,oldGroup
148,Nauru,ODCs,Manual,High-income,World Bank list of economies (March 2017),Developing economies,Small island developing States,No,Other,WorldTotal,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroupOther,oldGroupOther
149,Nepal,LDC,UN WESP,Low-income,UN WESP,Developing economies,OK,Yes,NFIDC,WorldTotal,nonSVE,nonRAM,nonG33,LIFDC,newGroup,oldGroup
151,Netherlands Antilles (former),ODCs,Manual,High-income,World Bank list of economies (March 2017),Developed economies,Manual,Yes,Other,WorldTotal,nonSVE,nonRAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther
150,Netherlands,ODCs,Manual,High-income,UN WESP,Developed economies,OK,Yes,Other,WorldTotal,nonSVE,nonRAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther
153,New Caledonia,ODCs,Manual,High-income,World Bank list of economies (March 2017),Developing economies,Small island developing States,No,Other,WorldTotal,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroupOther,oldGroupOther
156,New Zealand,ODCs,Manual,High-income,UN WESP,Developed economies,OK,Yes,Other,WorldTotal,nonSVE,nonRAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther
157,Nicaragua,ODCs,Manual,Lower middle income,UN WESP,Developing economies,OK,Yes,Other,WorldTotal,SVE,nonRAM,G33,LIFDC,newGroup,oldGroup
158,Niger,LDC,UN WESP,Low-income,UN WESP,Developing economies,OK,Yes,NFIDC,WorldTotal,nonSVE,nonRAM,nonG33,LIFDC,newGroup,oldGroup
159,Nigeria,ODCs,Manual,Lower middle income,UN WESP,Developing economies,OK,Yes,Other,WorldTotal,nonSVE,nonRAM,G33,LIFDC,newGroup,oldGroup
160,Niue,ODCs,Manual,Others,WB WITS,Developing economies,Small island developing States,No,Other,WorldTotal,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroupOther,oldGroupOther
161,Norfolk Island,ODCs,Manual,High-income,World Bank list of economies (March 2017),Developed economies,Manual,No,Other,WorldTotal,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroupOther,oldGroupOther
162,Norway,ODCs,Manual,High-income,UN WESP,Developed economies,OK,Yes,Other,WorldTotal,nonSVE,nonRAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther
221,Oman,ODCs,Manual,High-income,UN WESP,Developing economies,OK,Yes,Other,WorldTotal,nonSVE,RAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther
214,"China, Taiwan Province of",ODCs,Manual,Others,WB WITS,"Other regions, nes",Manual,No,Other,WorldTotal,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroup,oldGroup
165,Pakistan,ODCs,Manual,Lower middle income,UN WESP,Developing economies,OK,Yes,NFIDC,WorldTotal,nonSVE,nonRAM,G33,LIFDC,newGroup,oldGroup
180,Palau,ODCs,Manual,Upper middle income,World Bank list of economies (March 2017),Developing economies,Small island developing States,No,Other,WorldTotal,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroupOther,oldGroupOther
166,Panama,ODCs,Manual,Upper middle income,UN WESP,Developing economies,OK,Yes,Other,WorldTotal,nonSVE,RAM,G33,nonLIFDC,newGroupOther,oldGroupOther
168,Papua New Guinea,ODCs,Manual,Lower middle income,UN WESP,Developing economies,OK,Yes,Other,WorldTotal,SVE,nonRAM,nonG33,LIFDC,newGroup,oldGroup
169,Paraguay,ODCs,Manual,Upper middle income,UN WESP,Developing economies,OK,Yes,Other,WorldTotal,SVE,nonRAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther
170,Peru,ODCs,Manual,Upper middle income,UN WESP,Developing economies,OK,Yes,NFIDC,WorldTotal,nonSVE,nonRAM,G33,nonLIFDC,newGroup,oldGroup
171,Philippines,ODCs,Manual,Lower middle income,UN WESP,Developing economies,OK,Yes,Other,WorldTotal,nonSVE,nonRAM,G33,nonLIFDC,newGroupOther,oldGroup
172,Pitcairn Islands,ODCs,Manual,Others,WB WITS,Developing economies,Manual,No,Other,WorldTotal,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroupOther,oldGroupOther
173,Poland,ODCs,Manual,High-income,UN WESP,Developed economies,OK,Yes,Other,WorldTotal,nonSVE,nonRAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther
174,Portugal,ODCs,Manual,High-income,UN WESP,Developed economies,OK,Yes,Other,WorldTotal,nonSVE,nonRAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther
179,Qatar,ODCs,Manual,High-income,UN WESP,Developing economies,OK,Yes,Other,WorldTotal,nonSVE,nonRAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther
117,Republic of Korea,ODCs,Manual,High-income,UN WESP,Developing economies,OK,Yes,Other,WorldTotal,nonSVE,nonRAM,G33,nonLIFDC,newGroupOther,oldGroupOther
146,Republic of Moldova,ODCs,Manual,Lower middle income,UN WESP,Economies in transition,OK,Yes,Other,WorldTotal,nonSVE,RAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther
182,Réunion,ODCs,Manual,High-income,WB WITS,Developed economies,OK,No,Other,WorldTotal,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroupOther,oldGroupOther
183,Romania,ODCs,Manual,Upper middle income,UN WESP,Developed economies,OK,Yes,Other,WorldTotal,nonSVE,nonRAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther
185,Russian Federation,ODCs,Manual,Upper middle income,UN WESP,Economies in transition,OK,No,Other,WorldTotal,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroupOther,oldGroupOther
184,Rwanda,LDC,UN WESP,Low-income,UN WESP,Developing economies,OK,Yes,NFIDC,WorldTotal,nonSVE,nonRAM,nonG33,LIFDC,newGroup,oldGroup
187,"Saint Helena, Ascension and Tristan da Cunha",ODCs,Manual,Others,WB WITS,Developing economies,Manual,No,Other,WorldTotal,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroupOther,oldGroupOther
188,Saint Kitts and Nevis,ODCs,Manual,High-income,World Bank list of economies (March 2017),Developing economies,Small island developing States,Yes,NFIDC,WorldTotal,nonSVE,nonRAM,G33,nonLIFDC,newGroup,oldGroup
189,Saint Lucia,ODCs,Manual,Upper middle income,World Bank list of economies (March 2017),Developing economies,Small island developing States,Yes,NFIDC,WorldTotal,nonSVE,nonRAM,G33,nonLIFDC,newGroup,oldGroup
280,Sint Maarten (Dutch Part),ODCs,Manual,Upper middle income,World Bank list of economies (March 2017),Developing economies,Manual,No,Other,WorldTotal,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroupOther,oldGroupOther
190,Saint Pierre and Miquelon,ODCs,Manual,Others,WB WITS,Developing economies,Manual,No,Other,WorldTotal,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroupOther,oldGroupOther
191,Saint Vincent and the Grenadines,ODCs,Manual,High-income,World Bank list of economies (March 2017),Developing economies,Manual,Yes,NFIDC,WorldTotal,nonSVE,nonRAM,G33,nonLIFDC,newGroup,oldGroup
244,Samoa,ODCs,Manual,Lower middle income,UN WESP,Developing economies,OK,No,Other,WorldTotal,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroupOther,oldGroup
192,San Marino,ODCs,Manual,High-income,UN WESP,Developed economies,Manual,No,Other,WorldTotal,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroupOther,oldGroupOther
193,Sao Tome and Principe,LDC,UN WESP,Lower middle income,UN WESP,Developing economies,OK,No,NFIDC,WorldTotal,nonSVE,nonRAMnonWTO,nonG33nonWTO,LIFDC,newGroup,oldGroup
194,Saudi Arabia,ODCs,Manual,High-income,UN WESP,Developing economies,OK,Yes,Other,WorldTotal,nonSVE,RAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther
195,Senegal,LDC,UN WESP,Low-income,UN WESP,Developing economies,OK,Yes,NFIDC,WorldTotal,nonSVE,nonRAM,G33,LIFDC,newGroup,oldGroup
272,Serbia,ODCs,Manual,Upper middle income,UN WESP,Economies in transition,OK,NO,Other,WorldTotal,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroupOther,oldGroupOther
186,Serbia and Montenegro,ODCs,Manual,Upper middle income,World Bank list of economies (March 2017),Economies in transition,OK,No,Other,WorldTotal,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroupOther,oldGroupOther
196,Seychelles,ODCs,Manual,High-income,WB WITS,Economies in transition,OK,No,Other,WorldTotal,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroupOther,oldGroupOther
197,Sierra Leone,LDC,UN WESP,Low-income,UN WESP,Developing economies,OK,Yes,NFIDC,WorldTotal,nonSVE,nonRAM,nonG33,LIFDC,newGroup,oldGroup
200,Singapore,ODCs,Manual,High-income,UN WESP,Developing economies,OK,Yes,Other,WorldTotal,nonSVE,nonRAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther
199,Slovakia,ODCs,Manual,High-income,UN WESP,Developed economies,OK,Yes,Other,WorldTotal,nonSVE,nonRAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther
198,Slovenia,ODCs,Manual,High-income,UN WESP,Developed economies,OK,Yes,Other,WorldTotal,nonSVE,nonRAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther
25,Solomon Islands,LDC,UN WESP,Lower middle income,UN WESP,Developing economies,OK,Yes,NFIDC,WorldTotal,nonSVE,nonRAM,nonG33,LIFDC,newGroup,oldGroup
201,Somalia,LDC,UN WESP,Low-income,UN WESP,Developing economies,OK,No,NFIDC,WorldTotal,nonSVE,nonRAMnonWTO,nonG33nonWTO,LIFDC,newGroup,oldGroup
202,South Africa,ODCs,Manual,Upper middle income,UN WESP,Developing economies,OK,Yes,Other,WorldTotal,nonSVE,nonRAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther
277,South Sudan,LDC,UN WESP,Low-income,World Bank list of economies (March 2017),Developing economies,OK,No,NFIDC,WorldTotal,nonSVE,nonRAMnonWTO,nonG33nonWTO,LIFDC,newGroup,oldGroupOther
203,Spain,ODCs,Manual,High-income,UN WESP,Developed economies,OK,Yes,Other,WorldTotal,nonSVE,nonRAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther
38,Sri Lanka,ODCs,Manual,Lower middle income,UN WESP,Developing economies,OK,Yes,NFIDC,WorldTotal,nonSVE,nonRAM,G33,nonLIFDC,newGroup,oldGroup
299,Occupied Palestinian Territory,ODCs,Manual,Low-income,WB WITS,Developing economies,Manual,No,Other,WorldTotal,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroupOther,oldGroupOther
276,Sudan,LDC,UN WESP,Lower middle income,UN WESP,Developing economies,OK,No,NFIDC,WorldTotal,nonSVE,nonRAMnonWTO,nonG33nonWTO,LIFDC,newGroup,oldGroup
207,Suriname,ODCs,Manual,Upper middle income,UN WESP,Developing economies,OK,Yes,Other,WorldTotal,nonSVE,nonRAM,G33,nonLIFDC,newGroupOther,oldGroupOther
209,Swaziland,ODCs,Manual,Lower middle income,UN WESP,Developing economies,OK,Yes,NFIDC,WorldTotal,nonSVE,nonRAM,nonG33,nonLIFDC,newGroup,oldGroup
210,Sweden,ODCs,Manual,High-income,UN WESP,Developed economies,OK,Yes,Other,WorldTotal,nonSVE,nonRAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther
211,Switzerland,ODCs,Manual,High-income,UN WESP,Developed economies,OK,Yes,Other,WorldTotal,nonSVE,nonRAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther
212,Syrian Arab Republic,ODCs,Manual,Lower middle income,UN WESP,Developing economies,OK,No,Other,WorldTotal,nonSVE,nonRAMnonWTO,nonG33nonWTO,LIFDC,newGroup,oldGroup
208,Tajikistan,ODCs,Manual,Lower middle income,UN WESP,Economies in transition,OK,No,Other,WorldTotal,nonSVE,nonRAMnonWTO,nonG33nonWTO,LIFDC,newGroup,oldGroup
154,The former Yugoslav Republic of Macedonia,ODCs,Manual,Upper middle income,UN WESP,Economies in transition,OK,Yes,Other,WorldTotal,nonSVE,RAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther
216,Thailand,ODCs,Manual,Upper middle income,UN WESP,Developing economies,OK,Yes,Other,WorldTotal,nonSVE,nonRAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther
176,Timor-Leste,LDC,UN WESP,Lower middle income,UN WESP,Developing economies,OK,No,NFIDC,WorldTotal,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroup,oldGroup
217,Togo,LDC,UN WESP,Low-income,UN WESP,Developing economies,OK,Yes,NFIDC,WorldTotal,nonSVE,nonRAM,nonG33,LIFDC,newGroup,oldGroup
218,Tokelau,ODCs,Manual,Others,WB WITS,Developing economies,Manual,No,Other,WorldTotal,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroupOther,oldGroupOther
219,Tonga,ODCs,Manual,Lower middle income,World Bank list of economies (March 2017),Developing economies,Small island developing States,Yes,Other,WorldTotal,nonSVE,nonRAM,nonG33,nonLIFDC,newGroupOther,oldGroup
220,Trinidad and Tobago,ODCs,Manual,High-income,UN WESP,Developing economies,OK,Yes,NFIDC,WorldTotal,SVE,nonRAM,G33,nonLIFDC,newGroup,oldGroup
222,Tunisia,ODCs,Manual,Lower middle income,UN WESP,Developing economies,OK,Yes,NFIDC,WorldTotal,nonSVE,nonRAM,nonG33,nonLIFDC,newGroup,oldGroup
223,Turkey,ODCs,Manual,Upper middle income,UN WESP,Developing economies,OK,Yes,Other,WorldTotal,nonSVE,nonRAM,G33,nonLIFDC,newGroupOther,oldGroupOther
213,Turkmenistan,ODCs,Manual,Upper middle income,UN WESP,Economies in transition,OK,No,Other,WorldTotal,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroupOther,oldGroup
224,Turks and Caicos Islands,ODCs,Manual,High-income,World Bank list of economies (March 2017),Developing economies,Small island developing States,No,Other,WorldTotal,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroupOther,oldGroupOther
227,Tuvalu,LDC,UN WESP,Upper middle income,World Bank list of economies (March 2017),Developing economies,Small island developing States,No,NFIDC,WorldTotal,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroup,oldGroup
226,Uganda,LDC,UN WESP,Low-income,UN WESP,Developing economies,OK,Yes,NFIDC,WorldTotal,nonSVE,nonRAM,G33,LIFDC,newGroup,oldGroup
230,Ukraine,ODCs,Manual,Lower middle income,UN WESP,Economies in transition,OK,Yes,Other,WorldTotal,nonSVE,RAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther
225,United Arab Emirates,ODCs,Manual,High-income,UN WESP,Developing economies,OK,Yes,Other,WorldTotal,nonSVE,nonRAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther
229,United Kingdom,ODCs,Manual,High-income,UN WESP,Developed economies,OK,Yes,Other,WorldTotal,nonSVE,nonRAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther
215,United Republic of Tanzania,LDC,UN WESP,Low-income,UN WESP,Developing economies,OK,Yes,NFIDC,WorldTotal,nonSVE,nonRAM,G33,LIFDC,newGroup,oldGroup
232,US Minor Is.,ODCs,Manual,High-income,World Bank list of economies (March 2017),Developing economies,Small island developing States,No,Other,WorldTotal,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroupOther,oldGroupOther
234,Uruguay,ODCs,Manual,High-income,UN WESP,Developing economies,OK,Yes,Other,WorldTotal,nonSVE,nonRAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther
231,United States of America,ODCs,Manual,High-income,UN WESP,Developed economies,OK,Yes,Other,WorldTotal,nonSVE,nonRAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther
235,Uzbekistan,ODCs,Manual,Lower middle income,UN WESP,Economies in transition,OK,No,Other,WorldTotal,nonSVE,nonRAMnonWTO,nonG33nonWTO,LIFDC,newGroup,oldGroup
155,Vanuatu,LDC,UN WESP,Lower middle income,UN WESP,Developing economies,OK,No,NFIDC,WorldTotal,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroup,oldGroup
236,Venezuela (Bolivarian Republic of),ODCs,Manual,Upper middle income,UN WESP,Developing economies,OK,Yes,NFIDC,WorldTotal,nonSVE,nonRAM,G33,nonLIFDC,newGroup,oldGroup
237,Viet Nam,ODCs,Manual,Lower middle income,UN WESP,Developing economies,OK,Yes,Other,WorldTotal,nonSVE,nonRAM,nonG33,nonLIFDC,newGroupOther,oldGroupOther
243,Wallis and Futuna Islands,ODCs,Manual,Others,WB WITS,Developing economies,Manual,No,Other,WorldTotal,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroupOther,oldGroupOther
205,Western Sahara,ODCs,Manual,Others,WB WITS,Developing economies,Manual,No,Other,WorldTotal,nonSVE,nonRAMnonWTO,nonG33nonWTO,nonLIFDC,newGroupOther,oldGroupOther
249,Yemen,LDC,UN WESP,Lower middle income,UN WESP,Developing economies,OK,No,NFIDC,WorldTotal,nonSVE,nonRAMnonWTO,nonG33nonWTO,LIFDC,newGroup,oldGroup
251,Zambia,LDC,UN WESP,Lower middle income,UN WESP,Developing economies,OK,Yes,NFIDC,WorldTotal,nonSVE,nonRAM,G33,nonLIFDC,newGroup,oldGroup
181,Zimbabwe,ODCs,Manual,Low-income,UN WESP,Developing economies,OK,Yes,Other,WorldTotal,nonSVE,nonRAM,G33,LIFDC,newGroup,oldGroup
